name,price,chipset,memory,core_clock,boost_clock,color,length,image
Zotac Twin Edge OC,479.99,GeForce RTX 5060 Ti,16,2410,2602.0,Black,220,https://cdna.pcpartpicker.com/static/forever/images/product/cd249f96382c3c81f82b829154af3c8e.256p.jpg
Asus TUF GAMING OC,945.2,Radeon RX 9070 XT,16,2520,3080.0,Black / Silver,330,https://cdna.pcpartpicker.com/static/forever/images/product/a9f549d5905f54cf6f3e43c9a38643d5.256p.jpg
ONIX ODYSSEY,259.99,Arc B580,12,2670,,Black / Silver,260,
Asus DUAL EVO OC,439.99,GeForce RTX 4060 Ti,8,2310,2595.0,Black,227,https://cdna.pcpartpicker.com/static/forever/images/product/9587565162ba3dd767fd21a6b640c824.256p.jpg
Lenovo 4X61D97085,7516.34,RTX A5000,24,1170,1695.0,Black,267,
MSI VENTUS XS OC,339.0,GeForce GTX 1660 SUPER,6,1530,1815.0,Black / Silver,204,https://cdna.pcpartpicker.com/static/forever/images/product/9c57e7f04b05270bcf7edb9fcf4c715c.256p.jpg
ASRock Taichi OC,799.99,Radeon RX 9070 XT,16,2570,3100.0,Black,330,https://cdna.pcpartpicker.com/static/forever/images/product/8d2064fe21e3a8318837caf30fad70f1.256p.jpg
Gigabyte AORUS XTREME WATERFORCE,3762.26,GeForce RTX 5090,32,2010,2655.0,Black,246,https://cdna.pcpartpicker.com/static/forever/images/product/cd6c40012f6ad9665164a6c62121d333.256p.jpg
MSI VENTUS 3X OC,2699.99,GeForce RTX 5090,32,2010,,Silver / Black,325,https://cdna.pcpartpicker.com/static/forever/images/product/39f468764f322157ce781ad2c4fa803b.256p.jpg
XFX RX-79TMBABF9,700.26,Radeon RX 7900 XT,20,2000,2400.0,Black,276,https://cdna.pcpartpicker.com/static/forever/images/product/a05245760a1b9fd2988847a60767d99e.256p.jpg
XFX Speedster QICK 319 Core,,Radeon RX 6750 XT,12,2150,2600.0,Black,323,https://m.media-amazon.com/images/I/31wu10Ja0IL.jpg
XFX Speedster SWFT 309,,Radeon RX 6700 XT,12,2321,2581.0,Black,304,https://cdna.pcpartpicker.com/static/forever/images/product/b7e8bd378dc83ed462dd986eb508ace7.256p.jpg
Gigabyte AERO OC,694.99,GeForce RTX 5070,12,2160,2625.0,Black,324,https://cdna.pcpartpicker.com/static/forever/images/product/87996fa1877095ab8f6db8fb7b6adf34.256p.jpg
Gigabyte EAGLE OC ICE,329.99,GeForce RTX 5060,8,2280,,White,208,https://cdna.pcpartpicker.com/static/forever/images/product/f909fab47cb20bea4096f4b62f3d3ccf.256p.jpg
EVGA FTW3 ULTRA GAMING,899.99,GeForce RTX 3080 10GB,10,1440,1800.0,Black,300,https://cdna.pcpartpicker.com/static/forever/images/product/98d66a3d40876fec0cf643a7f6c6a00e.256p.jpg
XFX Speedster QICK 319 BLACK,569.0,Radeon RX 7700 XT,12,1700,2599.0,Black,335,https://cdna.pcpartpicker.com/static/forever/images/product/b7e8bd378dc83ed462dd986eb508ace7.256p.jpg
Gigabyte GAMING OC,439.99,GeForce RTX 4060,8,1830,,Black,281,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
PNY VCG508016TFXPB1,1349.99,GeForce RTX 5080,16,2300,2620.0,Black,329,https://cdna.pcpartpicker.com/static/forever/images/product/0f3e8c7fec641072601f855e0e3f8cf2.256p.jpg
PowerColor Red Devil OC,819.99,Radeon RX 9070 XT,16,2460,3060.0,Black / Red,340,https://cdna.pcpartpicker.com/static/forever/images/product/72d2d19e10c9c2bd94bb642c3726df41.256p.jpg
Gigabyte GAMING,349.99,Radeon RX 9060 XT,16,2220,,Black,281,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
MSI GeForce RTX 3060 Ti GAMING X,,GeForce RTX 3060 Ti,8,1410,1770.0,Black / Silver,278,https://cdna.pcpartpicker.com/static/forever/images/product/fdebde50e80ae3a2912f7e5dd6ff7622.256p.jpg
MSI SHADOW 3X OC,599.44,GeForce RTX 5070,12,2160,2557.0,Black,303,https://cdna.pcpartpicker.com/static/forever/images/product/d91d1da465afdceccb1152763b266b4a.256p.jpg
Gigabyte AORUS MASTER ICE,1629.99,GeForce RTX 5080,16,2300,,White / Silver,360,https://cdna.pcpartpicker.com/static/forever/images/product/0d1d28281116c9f7c303f386a28f7355.256p.jpg
Palit Infinity 3,923.0,GeForce RTX 5070,12,2325,2512.0,Black,292,https://cdna.pcpartpicker.com/static/forever/images/product/e9788a25886c5427edbd84c75b8d360f.256p.jpg
Sapphire NITRO+,,Radeon RX 7800 XT,16,1295,,Black,320,https://cdna.pcpartpicker.com/static/forever/images/product/1add1f9857eec8cf98c8963331dfe4b6.256p.jpg
ASRock Phantom Gaming D OC,159.99,Radeon RX 6500 XT,4,2365,2820.0,Black,240,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
MSI SUPRIM LIQUID SOC,3229.0,GeForce RTX 5090,32,2010,,Black / Silver,280,https://cdna.pcpartpicker.com/static/forever/images/product/ceb6bf84996a0c5d069a73e5b48c4d75.256p.jpg
